facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
WARSAW HEALTH AND REHAB,MEDICAID,835.0,5,5,1.0,167.0
WARSAW HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,465.0,3,3,1.0,155.0
WARSAW HEALTH AND REHAB,MEDICARE,1200.0,7,7,1.0,171.43
WATERVIEW HEALTH & REHAB CENTER,COMMERCIAL_HMO,10430.0,58,58,1.0,179.83
WATERVIEW HEALTH & REHAB CENTER,MEDICAID,330.0,1,1,1.0,330.0
WATERVIEW HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,2070.0,11,11,1.0,188.18
WATERVIEW HEALTH & REHAB CENTER,MEDICARE,6770.0,36,36,1.0,188.06
WAVERLY REHABILITATION,COMMERCIAL_HMO,3930.0,23,23,1.0,170.87
WAVERLY REHABILITATION,MEDICAID,470.0,2,2,1.0,235.0
WAVERLY REHABILITATION,BLUE_CROSS_BLUE_SHIELD,1060.0,6,6,1.0,176.67
WAVERLY REHABILITATION,MEDICARE,5675.0,36,36,1.0,157.64
WESTMORELAND HEALTHCARE CENTER,COMMERCIAL_HMO,2465.0,11,14,1.27,224.09
WESTMORELAND HEALTHCARE CENTER,BLUE_CROSS_BLUE_SHIELD,2015.0,10,11,1.1,201.5
WESTMORELAND HEALTHCARE CENTER,MEDICARE,14060.0,80,83,1.04,175.75
WILSON HEALTHCARE AND REHAB,COMMERCIAL_HMO,4930.0,27,27,1.0,182.59
WILSON HEALTHCARE AND REHAB,BLUE_CROSS_BLUE_SHIELD,2190.0,12,12,1.0,182.5
WILSON HEALTHCARE AND REHAB,MEDICARE,2040.0,13,13,1.0,156.92
WINDSOR REHABILITATION,COMMERCIAL_HMO,2260.0,12,12,1.0,188.33
WINDSOR REHABILITATION,MEDICAID,740.0,4,4,1.0,185.0
WINDSOR REHABILITATION,BLUE_CROSS_BLUE_SHIELD,1010.0,5,5,1.0,202.0
WINDSOR REHABILITATION,MEDICARE,140.0,1,1,1.0,140.0
WOODLANDS HEALTH & REHAB,COMMERCIAL_HMO,2355.0,12,12,1.0,196.25
WOODLANDS HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,140.0,1,1,1.0,140.0
WOODLANDS HEALTH & REHAB,MEDICARE,16650.0,116,116,1.0,143.53
