facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,6080.0,33,35,1.06,184.24
COURTLAND REHAB AND HEALTHCARE,MEDICARE,27035.0,158,160,1.01,171.11
CURRITUCK HEALTH AND REHAB,COMMERCIAL_HMO,1365.0,6,6,1.0,227.5
CURRITUCK HEALTH AND REHAB,MEDICARE,3315.0,12,14,1.17,276.25
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,34670.0,183,183,1.0,189.45
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,2730.0,14,14,1.0,195.0
DEER MEADOWS REHABILITATION,MEDICARE,29895.0,155,155,1.0,192.87
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,35950.0,171,181,1.06,210.23
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,3690.0,17,18,1.06,217.06
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,4520.0,21,23,1.1,215.24
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,67615.0,332,341,1.03,203.66
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,9455.0,57,58,1.02,165.88
EMPORIA REHAB AND HEALTHCARE,MEDICAID,420.0,3,3,1.0,140.0
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,1865.0,13,13,1.0,143.46
EMPORIA REHAB AND HEALTHCARE,MEDICARE,13405.0,82,84,1.02,163.48
GATES HEALTH AND REHAB,COMMERCIAL_HMO,4615.0,22,22,1.0,209.77
GATES HEALTH AND REHAB,MEDICAID,3280.0,18,18,1.0,182.22
GATES HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,740.0,4,4,1.0,185.0
GATES HEALTH AND REHAB,MEDICARE,2205.0,11,11,1.0,200.45
GUGGENHEIMER HEALTH AND REHAB,MEDICARE,280.0,2,2,1.0,140.0
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,65555.0,316,316,1.0,207.45
GUILFORD HEALTH CARE CENTER,MEDICAID,13488.38,67,67,1.0,201.32
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,4065.0,22,22,1.0,184.77
GUILFORD HEALTH CARE CENTER,MEDICARE,42520.0,210,210,1.0,202.48
HARMONY PARK AT WILSON,COMMERCIAL_HMO,33680.0,185,185,1.0,182.05
HARMONY PARK AT WILSON,MEDICAID,10635.0,61,61,1.0,174.34
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,5515.0,32,32,1.0,172.34
HARMONY PARK AT WILSON,MEDICARE,10615.0,62,62,1.0,171.21
HERITAGE GREEN,COMMERCIAL_HMO,2370.0,14,14,1.0,169.29
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,765.0,4,4,1.0,191.25
HERITAGE GREEN,MEDICARE,6735.0,43,45,1.05,156.63
HERITAGE HALL OF BLACKSBURG,COMMERCIAL_HMO,24435.0,122,129,1.06,200.29
HERITAGE HALL OF BLACKSBURG,BLUE_CROSS_BLUE_SHIELD,11170.0,49,53,1.08,227.96
HERITAGE HALL OF BLACKSBURG,MEDICARE,34285.0,174,182,1.05,197.04
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,4540.0,22,22,1.0,206.36
HERTFORD REHABILITATION AND HC,MEDICAID,11135.0,57,57,1.0,195.35
